tank,index,diet,temperature,weight (g),colour,spineloss,lesions,time,diam1,diam2,diam_ave
1,1,formulated,warm,14.5,,,,0,3.218876383,3.872504458,3.545690421
1,2,formulated,warm,20.1,red,,,0,4.143798997,4.413429753,4.278614375
1,3,formulated,warm,18.5,,,,0,3.363288912,3.405862189,3.38457555
1,4,formulated,warm,25.7,,,,0,4.087034627,3.618728576,3.852881601
1,5,formulated,warm,23.1,purple,,,0,4.312609723,4.681824002,4.497216862
1,6,formulated,warm,11.3,,,,0,2.806035109,3.161939726,2.983987418
1,7,formulated,warm,24.4,,,,0,3.86021192,4.133020159,3.99661604
1,8,formulated,warm,12.4,,,,0,3.022702693,3.12204034,3.072371516
1,9,formulated,warm,17,light purple,,,0,3.450223489,3.617232637,3.533728063
1,10,formulated,warm,8.6,,,,0,2.648416788,2.648416788,2.648416788
1,11,formulated,warm,33.1,,,,0,4.897489724,4.80776536,4.852627542
1,12,formulated,warm,14.6,purple,,,0,4.233235229,4.002649136,4.117942182
1,13,formulated,warm,15.5,,,,0,3.246784257,3.331644199,3.289214228
1,14,formulated,warm,22.3,,,,0,3.899175356,4.43092291,4.165049133
1,15,formulated,warm,6,,,,0,2.132078817,2.224575393,2.178327105
1,16,formulated,warm,6,purple,,,0,3.231030037,3.311917935,3.271473986
1,17,formulated,warm,23.4,,,,0,3.959314795,4.214754459,4.087034627
1,18,formulated,warm,16.2,light purple,,,0,3.363288912,3.349097819,3.356193366
1,19,formulated,warm,22,,,,0,3.452171015,3.555428045,3.50379953
2,1,mixed,warm,26.5,green red,,,0,4.424183332,4.494632111,4.459407722
2,2,mixed,warm,29.6,light purple,,,0,4.412979232,4.730702403,4.571840817
2,3,mixed,warm,24,,,,0,3.959829308,4.031424848,3.995627078
2,4,mixed,warm,18.2,,,,0,3.3815414,3.339272133,3.360406767
2,5,mixed,warm,7.3,,,,0,2.437527759,2.479797027,2.458662393
2,6,mixed,warm,21,light purple,,,0,3.446788866,3.806588163,3.626688515
2,7,mixed,warm,25.2,purple,,,0,4.560664834,5.071000801,4.815832818
2,8,mixed,warm,18.5,light purple,,,0,3.916470608,3.795273919,3.855872264
2,9,mixed,warm,24.1,light purple,,,0,4.005680662,4.202740589,4.104210626
2,10,mixed,warm,20.3,purple red,,,0,4.044109699,4.209920254,4.127014976
2,11,mixed,warm,20.2,,,,0,3.311841992,3.509056449,3.41044922
2,12,mixed,warm,20.4,purple,,,0,4.407937947,4.702185553,4.55506175
2,13,mixed,warm,17.2,,,,0,3.142015551,3.170195063,3.156105307
2,14,mixed,warm,23.7,red,,,0,4.067976287,4.18829694,4.128136614
2,15,mixed,warm,22.1,,,,0,3.872632893,3.859770252,3.866201572
2,16,mixed,warm,16.8,,,,0,3.099746284,3.423810668,3.261778476
2,17,mixed,warm,17.8,purple,,,0,3.150328882,3.305797234,3.228063058
2,18,mixed,warm,8.2,,,,0,2.19800191,2.324809713,2.261405812
2,19,mixed,warm,5.2,,,,0,1.972565817,2.141642887,2.057104352
3,1,formulated,ambient,18.2,,,,0,3.20372093,3.464186047,3.333953488
3,2,formulated,ambient,22.4,,,,0,3.313862063,3.380093156,3.34697761
3,3,formulated,ambient,22.5,green orange,,,0,3.347610111,3.50412715,3.425868631
3,4,formulated,ambient,12.3,purple,,,0,3.641904066,3.62928489,3.635594478
3,5,formulated,ambient,25.1,,,,0,3.269459776,3.387373622,3.328416699
3,6,formulated,ambient,13.6,,,,0,2.575116269,2.810912214,2.693014241
3,7,formulated,ambient,22.3,,,,0,3.060465116,3.490232558,3.275348837
3,8,formulated,ambient,11.9,purple,,,0,3.167798225,3.578967465,3.373382845
3,9,formulated,ambient,17.6,,,,0,2.669767442,2.891162791,2.780465116
3,10,formulated,ambient,20.3,,,,0,3.398608184,3.464687846,3.431648015
3,11,formulated,ambient,4.8,,,,0,1.758139535,1.784186047,1.771162791
